effective_date,ticker,universe,source_pdf
2021-03-31,TORNTPOWER.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,TRENT.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,TRIDENT.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,TV18BRDCST.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,TVSMOTOR.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,UBL.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,UJJIVANSFB.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,ULTRACEMCO.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,UNIONBANK.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,UPL.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,UTIAMC.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,VAKRANGEE.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,VBL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,VEDL.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,VGUARD.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,VIPIND.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,VOLTAS.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,WELSPUNIND.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,WESTLIFE.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,WHIRLPOOL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,WIPRO.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,WOCKPHARMA.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,YESBANK.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,ZEEL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
